,Order Date,Sales
0,2019-01-01,693.98
1,2019-02-01,691.775
2,2019-03-01,685.4
3,2019-04-01,1267.5849999999998
4,2019-05-01,210.445
5,2019-06-01,1054.915
6,2019-07-01,844.805
7,2019-08-01,522.24
8,2019-09-01,991.395
9,2019-10-01,748.2299999999999
10,2019-11-01,613.3799999999999
11,2019-12-01,1130.6599999999999
12,2020-01-01,553.855
13,2020-02-01,1515.6899999999998
14,2020-03-01,394.23
15,2020-04-01,707.66
16,2020-05-01,832.83
17,2020-06-01,974.7199999999999
18,2020-07-01,965.7399999999999
19,2020-08-01,281.38
20,2020-09-01,594.8199999999999
21,2020-10-01,1098.7
22,2020-11-01,830.6099999999999
23,2020-12-01,618.125
24,2021-01-01,577.025
25,2021-02-01,780.915
26,2021-03-01,1163.875
27,2021-04-01,882.955
28,2021-05-01,672.1899999999999
29,2021-06-01,719.115
30,2021-07-01,623.9499999999999
31,2021-08-01,642.3299999999999
32,2021-09-01,1382.81
33,2021-10-01,1225.98
34,2021-11-01,1399.3
35,2021-12-01,1020.165
36,2022-01-01,1087.475
37,2022-02-01,308.28
38,2022-03-01,985.385
39,2022-04-01,422.46
40,2022-05-01,862.31
41,2022-06-01,1001.685
42,2022-07-01,860.9599999999999
43,2022-08-01,196.55
