,Order Date,Sales
0,2019-01-01,40.5
1,2019-02-01,219.76
2,2019-03-01,80.05
3,2019-04-01,348.005
4,2019-05-01,188.12
5,2019-06-01,287.2699999999999
6,2019-07-01,130.8
7,2019-08-01,95.53499999999998
8,2019-09-01,127.89499999999998
9,2019-10-01,95.02000000000001
10,2019-11-01,128.48
11,2019-12-01,39.64
12,2020-01-01,13.094999999999999
13,2020-02-01,120.97999999999999
14,2020-03-01,325.455
15,2020-05-01,106.52499999999999
16,2020-06-01,181.24499999999998
17,2020-07-01,196.195
18,2020-08-01,19.02
19,2020-09-01,72.9
20,2020-10-01,381.34
21,2020-11-01,168.89
22,2020-12-01,89.22
23,2021-01-01,248.51
24,2021-02-01,140.295
25,2021-03-01,229.965
26,2021-04-01,98.73
27,2021-05-01,235.49999999999997
28,2021-06-01,139.445
29,2021-07-01,139.155
30,2021-08-01,330.38
31,2021-09-01,176.92999999999998
32,2021-10-01,47.58
33,2021-11-01,157.0
34,2021-12-01,88.965
35,2022-01-01,117.67999999999999
36,2022-02-01,85.35
37,2022-03-01,297.9699999999999
38,2022-04-01,353.98999999999995
39,2022-05-01,140.06
40,2022-06-01,119.955
41,2022-07-01,45.77
42,2022-08-01,47.695
