,Order Date,Sales
0,2019-01-01,828.985
1,2019-02-01,987.405
2,2019-03-01,1021.14
3,2019-04-01,1680.75
4,2019-05-01,398.565
5,2019-06-01,1384.6799999999998
6,2019-07-01,1004.1349999999999
7,2019-08-01,706.345
8,2019-09-01,1277.02
9,2019-10-01,884.9699999999999
10,2019-11-01,823.385
11,2019-12-01,1189.7849999999999
12,2020-01-01,566.95
13,2020-02-01,1798.34
14,2020-03-01,914.79
15,2020-04-01,761.81
16,2020-05-01,939.355
17,2020-06-01,1438.4399999999998
18,2020-07-01,1308.945
19,2020-08-01,300.4
20,2020-09-01,713.05
21,2020-10-01,1514.705
22,2020-11-01,1108.865
23,2020-12-01,751.895
24,2021-01-01,837.685
25,2021-02-01,958.8299999999999
26,2021-03-01,1544.6399999999999
27,2021-04-01,1005.585
28,2021-05-01,907.6899999999999
29,2021-06-01,864.53
30,2021-07-01,763.105
31,2021-08-01,1075.9099999999999
32,2021-09-01,1643.5749999999998
33,2021-10-01,1400.3999999999999
34,2021-11-01,1616.1799999999998
35,2021-12-01,1147.98
36,2022-01-01,1269.415
37,2022-02-01,393.63
38,2022-03-01,1315.205
39,2022-04-01,776.4499999999999
40,2022-05-01,1002.37
41,2022-06-01,1155.3899999999999
42,2022-07-01,906.7299999999999
43,2022-08-01,244.245
