,Order Date,Sales
0,2019-01-01,94.505
1,2019-02-01,75.86999999999999
2,2019-03-01,255.69000000000003
3,2019-04-01,65.16000000000001
4,2019-06-01,42.495
5,2019-07-01,28.53
6,2019-08-01,88.57000000000001
7,2019-09-01,157.73
8,2019-10-01,41.72
9,2019-11-01,81.525
10,2019-12-01,19.485
11,2020-02-01,161.67000000000002
12,2020-03-01,195.10500000000002
13,2020-04-01,54.150000000000006
14,2020-06-01,282.475
15,2020-07-01,147.01
16,2020-09-01,45.33
17,2020-10-01,34.665
18,2020-11-01,109.365
19,2020-12-01,44.55
20,2021-01-01,12.15
21,2021-02-01,37.620000000000005
22,2021-03-01,150.8
23,2021-04-01,23.9
24,2021-06-01,5.97
25,2021-08-01,103.2
26,2021-09-01,83.83500000000001
27,2021-10-01,126.83999999999997
28,2021-11-01,59.88
29,2021-12-01,38.85
30,2022-01-01,64.26
31,2022-03-01,31.85
32,2022-06-01,33.75
